profile_id,strategy_id,scenario_id,month,income,expenses_and_existing_emi,home_emi,total_emi,liquid_savings,investment_value,outstanding_home_loan,home_owned,net_worth,monthly_cash_flow,breach_flag,breach_reason
P001,P001_full_cash,baseline,1,560000,255000,0,25000,5505000,2217417,0,0,7722417,305000,0,
P001,P001_full_cash,baseline,2,560000,255000,0,25000,5810000,2234971,0,0,8044971,305000,0,
P001,P001_full_cash,baseline,3,560000,255000,0,25000,6115000,2252665,0,0,8367665,305000,0,
P001,P001_full_cash,baseline,4,560000,255000,0,25000,6420000,2270498,0,0,8690498,305000,0,
P001,P001_full_cash,baseline,5,560000,255000,0,25000,6725000,2288473,0,0,9013473,305000,0,
P001,P001_full_cash,baseline,6,560000,255000,0,25000,7030000,2306590,0,0,9336590,305000,0,
P001,P001_full_cash,baseline,7,560000,255000,0,25000,7335000,2324851,0,0,9659851,305000,0,
P001,P001_full_cash,baseline,8,560000,255000,0,25000,7640000,2343256,0,0,9983256,305000,0,
P001,P001_full_cash,baseline,9,560000,255000,0,25000,7945000,2361807,0,0,10306807,305000,0,
P001,P001_full_cash,baseline,10,560000,255000,0,25000,8250000,2380504,0,0,10630504,305000,0,
P001,P001_full_cash,baseline,11,560000,255000,0,25000,8555000,2399350,0,0,10954350,305000,0,
P001,P001_full_cash,baseline,12,560000,255000,0,25000,8860000,2418345,0,0,11278345,305000,0,
P001,P001_full_cash,baseline,13,560000,255000,0,25000,305000,1288465,0,1,11593465,305000,1,below_emergency_reserve
P001,P001_full_cash,baseline,14,560000,255000,0,25000,610000,1298665,0,1,11908665,305000,1,below_emergency_reserve
P001,P001_full_cash,baseline,15,560000,255000,0,25000,915000,1308946,0,1,12223946,305000,1,below_emergency_reserve
P001,P001_full_cash,baseline,16,560000,255000,0,25000,1220000,1319309,0,1,12539309,305000,1,below_emergency_reserve
P001,P001_full_cash,baseline,17,560000,255000,0,25000,1525000,1329753,0,1,12854753,305000,1,below_emergency_reserve
P001,P001_full_cash,baseline,18,560000,255000,0,25000,1830000,1340281,0,1,13170281,305000,1,below_emergency_reserve
P001,P001_full_cash,baseline,19,560000,255000,0,25000,2135000,1350891,0,1,13485891,305000,0,
P001,P001_full_cash,baseline,20,560000,255000,0,25000,2440000,1361586,0,1,13801586,305000,0,
P001,P001_full_cash,baseline,21,560000,255000,0,25000,2745000,1372365,0,1,14117365,305000,0,
P001,P001_full_cash,baseline,22,560000,255000,0,25000,3050000,1383229,0,1,14433229,305000,0,
P001,P001_full_cash,baseline,23,560000,255000,0,25000,3355000,1394180,0,1,14749180,305000,0,
P001,P001_full_cash,baseline,24,560000,255000,0,25000,3660000,1405217,0,1,15065217,305000,0,
